transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,s_nom,geometry,cross_border
BA15-220-400,BA15-220,BA15-400,220,400,1788,"LINESTRING (19.281035441852282 43.79218198525006, 19.281327511720303 43.7923480558783)",False
BA4-220-400,BA4-220,BA4-400,220,400,5363,"LINESTRING (18.605783043969407 44.480477614181076, 18.606076809486325 44.480645485154994)",False
BA5-220-400,BA5-220,BA5-400,220,400,1788,"LINESTRING (19.069671123159033 44.40383966176981, 19.06996587767301 44.40400620882524)",False
way/245190169-220-400,way/245190169-220,way/245190169-400,220,400,3575,"LINESTRING (18.333137433557468 42.67719632995537, 18.33342093302511 42.67736538451529)",False
way/89827347-220-400,way/89827347-220,way/89827347-400,220,400,5363,"LINESTRING (17.769573186391867 43.303025789031004, 17.769858195754946 43.3031963063133)",False
